id,year,authors,title,publication,doi_or_id,stable_url,full_text_url,evidence_status,evidence_scope,version,local_file,pdf_pages,sha256,accessed_on,note_file,provenance_notes
"01",2004,"S. P. Hoogendoorn; P. H. L. Bovy","Pedestrian route-choice and activity scheduling theory and models","Transportation Research Part B: Methodological 38(2):169-190","10.1016/S0191-2615(03)00007-9","https://research.tudelft.nl/en/publications/pedestrian-route-choice-and-activity-scheduling-theory-and-models/","","metadata_verified","publisher/institutional metadata and abstract","version-of-record metadata","","","","2026-08-02","theory/notes/01_hoogendoorn_route_choice.md","Closed access; no lawful open PDF located"
"02",2004,"Winnie Daamen","Modelling Passenger Flows in Public Transport Facilities","Delft University of Technology doctoral thesis","ISBN 90-407-2521-7","https://resolver.tudelft.nl/uuid:e65fb66c-1e55-4e63-8c49-5199d40f60e1","https://repository.tudelft.nl/file/File_f67a12da-ae70-4a6c-a925-cf07c2218e31","full_text_verified","institutional repository full text","institutional repository copy","theory/papers/02_2004_Daamen_passenger_flows.pdf",403,"CF14980731DA4A36CC6F1FD27967DBB11ECB8AEE24FBA70912036F6D11620E8A","2026-08-02","theory/notes/02_daamen_passenger_flows.md","Repository terms permit personal use; redistribution license not stated"
"03",2013,"A. Kneidl; D. Hartmann; A. Borrmann","A hybrid multi-scale approach for simulation of pedestrian dynamics","Transportation Research Part C: Emerging Technologies 37:223-237","10.1016/j.trc.2013.03.005","https://portal.fis.tum.de/en/publications/a-hybrid-multi-scale-approach-for-simulation-of-pedestrian-dynami/","https://publications.cms.bgu.tum.de/Kneidl_2013_TRC.pdf","full_text_verified","author-hosted preprint plus institutional metadata","author preprint 2013-03-15","theory/papers/03_2013_Kneidl_hybrid_multiscale.pdf",22,"960B2586460315C52694F374B2074A104AC4CA7E418BD95718F0967A1EDF87DA","2026-08-02","theory/notes/03_kneidl_hybrid_multiscale.md","Not the version of record"
"04",2012,"Armel Ulrich Kemloh Wagoum; Armin Seyfried; Stefan Holl","Modeling the Dynamic Route Choice of Pedestrians to Assess the Criticality of Building Evacuation","Advances in Complex Systems 15(07):1250029","10.1142/S0219525912500294","https://juser.fz-juelich.de/record/16128/","https://arxiv.org/pdf/1103.4080","full_text_verified","arXiv preprint plus institutional/publisher metadata","arXiv:1103.4080v1","theory/papers/04_2012_Kemloh_Wagoum_dynamic_route_choice.pdf",15,"720D1E898A57C75C3B95DE38EF4FE3E2BA3DDB0C25AE825AF183ABC17149CA1E","2026-08-02","theory/notes/04_kemloh_wagoum_dynamic_route_choice.md","Preprint; not the version of record"
"05",2016,"Ahmed Abdelghany; Khaled Abdelghany; Hani Mahmassani","A hybrid simulation-assignment modeling framework for crowd dynamics in large-scale pedestrian facilities","Transportation Research Part A: Policy and Practice 86:159-176","10.1016/j.tra.2016.02.011","https://portfolio.erau.edu/en/publications/a-hybrid-simulation-assignment-modeling-framework-for-crowd-dynam/","","metadata_verified","institutional abstract and Crossref metadata","version-of-record metadata","","","","2026-08-02","theory/notes/05_abdelghany_hybrid_assignment.md","Publisher full text restricted; no lawful open PDF located"
"06",2005,"Winnie Daamen; Piet H. L. Bovy; Serge P. Hoogendoorn","Influence of Changes in Level on Passenger Route Choice in Railway Stations","Transportation Research Record 1930(1):12-20","10.1177/0361198105193000102; alias 10.3141/1930-02","https://journals.sagepub.com/doi/10.1177/0361198105193000102","","metadata_verified","publisher abstract; thesis used only as labelled support","version-of-record metadata","","","","2026-08-02","theory/notes/06_daamen_level_changes.md","Restricted access; checklist formula not verified as the article formula"
"07",2006,"Gianluca Antonini; Michel Bierlaire; Mats Weber","Discrete choice models of pedestrian walking behavior","Transportation Research Part B: Methodological 40(8):667-687","10.1016/j.trb.2005.09.006","https://www.sciencedirect.com/science/article/pii/S0191261505001062","","metadata_verified","publisher abstract and snippets","version-of-record metadata","","","","2026-08-02","theory/notes/07_antonini_bierlaire_weber_2006.md","Related conference/technical versions are not bibliographically identical"
"08",2009,"Thomas Robin; Gianluca Antonini; Michel Bierlaire; Javier Cruz","Specification, estimation and validation of a pedestrian walking behavior model","Transportation Research Part B: Methodological 43(1):36-56","10.1016/j.trb.2008.06.010","https://www.sciencedirect.com/science/article/pii/S0191261508000763","","metadata_verified","publisher abstract","version-of-record metadata","","","","2026-08-02","theory/notes/08_robin_antonini_bierlaire_cruz_2009.md","Same-title 2007 technical report has a different author list and was not substituted"
"09",1995,"Dirk Helbing; Péter Molnár","Social force model for pedestrian dynamics","Physical Review E 51(5):4282-4286","10.1103/PhysRevE.51.4282","https://journals.aps.org/pre/abstract/10.1103/PhysRevE.51.4282","https://arxiv.org/pdf/cond-mat/9805244","full_text_verified","full-text author version","arXiv v1 author version submitted 1998-05-20","theory/papers/09_helbing_molnar_1995_social_force_model.pdf",18,"9EEE6FD44B92129ED8CFA464282F85DFC492C0F5C0C3AEF47539AA50AF6746A9","2026-08-02","theory/notes/09_helbing_molnar_1995.md","Author version linked by arXiv to the 1995 journal article"
"10",2015,"Bani Anvari; Michael G. H. Bell; Aruna Sivakumar; Washington Y. Ochieng","Modelling shared space users via rule-based social force model","Transportation Research Part C: Emerging Technologies 51:83-103","10.1016/j.trc.2014.10.012","https://discovery.ucl.ac.uk/id/eprint/10042206/","https://discovery.ucl.ac.uk/id/eprint/10042206/1/modelling_shared_space_users_via_rule-ba.pdf","full_text_verified","full-text accepted manuscript","Author Accepted Manuscript","theory/papers/10_anvari_et_al_2015_rule_based_social_force.pdf",32,"034760CE7644A5CECAD1D4078C4DC24CC626E6FCD25D106ACA5E294E5B6019C3","2026-08-02","theory/notes/10_anvari_et_al_2015.md","UCL institutional copy"
"11",2013,"Dorine C. Duives; Winnie Daamen; Serge P. Hoogendoorn","State-of-the-art crowd motion simulation models","Transportation Research Part C: Emerging Technologies 37:193-209","10.1016/j.trc.2013.02.005","https://research.tudelft.nl/en/publications/state-of-the-art-crowd-motion-simulation-models/","","metadata_verified","institutional metadata and abstract","version-of-record metadata","","","","2026-08-02","theory/notes/11_duives_daamen_hoogendoorn_2013.md","A 265-page dissertation containing an adapted chapter was not substituted for the article"
"12",2015,"Sebastian Seriani; Rodrigo Fernandez","Pedestrian traffic management of boarding and alighting in metro stations","Transportation Research Part C: Emerging Technologies 53:76-92","10.1016/j.trc.2015.02.003","https://doi.org/10.1016/j.trc.2015.02.003","","metadata_verified","official abstract and publisher highlights","version-of-record metadata","","","","2026-08-02","theory/notes/12_seriani_2015_boarding_alighting.md","No clearly legal downloadable full text located"
